"server_site","server_ip","city","country_name","country_code","latitude","longitude","total_testes","clientes_unicos"
"the1916","200.137.160.153","Teresina","Brazil","BR",-5.05994,-42.8235,760,676
"bvb1916","2001:12f0:e40::213","Belém","Brazil","BR",2.84139,-60.6922,538,515
"bog02","190.98.179.216","Bogota",,"CO",4.70159,-74.1469,455,378
"pvh1916","200.129.139.180","Belém","Brazil","BR",-8.70929,-63.9023,445,391
"bog05","2800:870:400:1::75","Bogota",,"CO",4.70159,-74.1469,444,412
"bog05","2800:870:400:1::101","Bogota",,"CO",4.70159,-74.1469,440,409
"bog05","2800:870:400:1::88","Bogota",,"CO",4.70159,-74.1469,431,411
"bog02","190.98.179.203","Bogota",,"CO",4.70159,-74.1469,424,366
"bog02","190.98.179.229","Bogota",,"CO",4.70159,-74.1469,399,335
"eze01","2001:1900:2261:1705::37","Buenos Aires",,"AR",-34.8222,-58.5358,380,347
"mcp1916","2001:12f0:ec0:1::1916:51","Manaus","Brazil","BR",0.050664,-51.0722,379,363
"eze01","2001:1900:2261:1705::24","Buenos Aires",,"AR",-34.8222,-58.5358,379,350
"nat1916","200.137.0.197","Natal","Brazil","BR",-5.76806,-35.3761,362,338
"eze01","2001:1900:2261:1705::11","Buenos Aires",,"AR",-34.8222,-58.5358,349,316
"cgr1916","200.129.207.174","Campo Grande","Brazil","BR",-20.4687,-54.6725,343,315
"fra15830","2604:1380:4091:2100::1","Frankfurt am Main","Germany","DE",50.0333,8.57056,272,13
"eze01","204.199.6.11","Buenos Aires",,"AR",-34.8222,-58.5358,230,160
"cgb1916","2001:12f0:c80:12::162","Cuiabá","Brazil","BR",-15.6529,-56.1167,230,222
"bvb1916","200.129.143.213","Belém","Brazil","BR",2.84139,-60.6922,227,201
"eze01","204.199.6.37","Buenos Aires",,"AR",-34.8222,-58.5358,210,161
"fra174","2001:978:2:76::cf",,"France","FR",50.0333,8.57056,207,20
"eze01","204.199.6.24","Buenos Aires",,"AR",-34.8222,-58.5358,206,171
"lim02","2800:870:3000::11","Lima",,"PE",-12.0219,-77.1143,203,185
"lim01","2001:13b3:9000::216","Lima",,"PE",-12.0219,-77.1143,198,180
"lim01","2001:13b3:9000::203","Lima",,"PE",-12.0219,-77.1143,197,175
"rbr1916","2001:12f0:e00:1010::149","Santarém","Brazil","BR",-9.86889,-67.8981,195,39
"lim02","2800:870:3000::37","Lima",,"PE",-12.0219,-77.1143,188,166
"lim02","2800:870:3000::24","Lima",,"PE",-12.0219,-77.1143,175,158
"lim01","2001:13b3:9000::229","Lima",,"PE",-12.0219,-77.1143,167,152
"bog05","162.213.97.88","Bogota",,"CO",4.70159,-74.1469,166,144
"bog02","2001:1498:1:965::216","Bogota",,"CO",4.70159,-74.1469,165,149
"bog05","162.213.97.75","Bogota",,"CO",4.70159,-74.1469,159,134
"bog02","2001:1498:1:965::203","Bogota",,"CO",4.70159,-74.1469,159,150
"bog02","2001:1498:1:965::229","Bogota",,"CO",4.70159,-74.1469,157,144
"bog05","162.213.97.101","Bogota",,"CO",4.70159,-74.1469,150,136
"cgb1916","200.129.240.162","Cuiabá","Brazil","BR",-15.6529,-56.1167,131,119
