"cidade","provedor","rtt_mediana","testes"
"Cuiabá","Telefônica",53.75,5348
"Garanhuns","Claro",54.0,7
"Quatá","Telefônica",54.0,3
"Caldas Novas","Claro",55.5,56
"Campina Grande","Claro",55.75,169
"Rio Verde","Claro",55.75,376
"Aquiraz","Claro",56.0,3
"Redenção","Telefônica",56.0,8
"Várzea Grande","Telefônica",57.0,499
"Rondonópolis","Telefônica",57.0,273
"Bugre","Telefônica",57.0,285
"Salvador","Claro",57.5,3014
"Esteio","Telefônica",57.5,112
"Capão Bonito","Telefônica",57.5,14
"Anápolis","Claro",57.75,255
"Goiânia","Claro",57.875,5344
"Paulistana","Telefônica",58.0,5
"São Sebastião da Grama","Telefônica",58.0,43
"Panambi","Claro",58.0,42
"Itabela","Telefônica",58.0,7
"Eunápolis","Telefônica",58.0,87
"Tucuruí","Telefônica",58.0,2
"São Borja","Claro",58.0,48
"Feira de Santana","Claro",59.0,328
"Primavera do Leste","Telefônica",59.0,113
"Tangará da Serra","Telefônica",59.0,58
"Rondonópolis","Claro",59.75,95
"Mossoró","Claro",59.9375,149
"São João Evangelista","Telefônica",60.0,101
"Jequié","Claro",60.0,88
"Porto Seguro","Telefônica",60.0,163
"Nova Mutum","Telefônica",60.0,97
"Ilhéus","Telefônica",60.0,47
"Juazeiro","Claro",60.0,43
"Barreiras","Telefônica",60.0,10
"Barreiras","Claro",62.0,39
"Pedro Leopoldo","Telefônica",63.0,73
"Rio Verde","Telefônica",63.0,637
"Lauro de Freitas","Telefônica",63.0,14
"Palmas","Claro",63.5,322
"Betim","Telefônica",63.5,409
"Aracaju","Claro",63.75,470
"Sinop","Telefônica",63.75,166
"Telêmaco Borba","Telefônica",64.0,12
"Guanambi","Telefônica",64.0,1
"Santa Inês","Telefônica",64.0,1
"Barbalha","Claro",64.0,1
"Uruguaiana","Telefônica",64.0,1
"Maceió","Claro",66.0,1258
"Vitória da Conquista","Telefônica",66.0,345
"Sobral","Claro",66.0,88
"Jequié","Telefônica",66.0,78
"Santana do Livramento","Claro",66.0,93
"Três Lagoas","Claro",66.0,34
"Feira de Santana","Telefônica",67.0,148
"Dourados","Claro",67.0,170
"Sinop","Claro",67.0,288
"Jatai","Claro",67.0,133
"Cuiabá","Claro",67.5,1330
"Campo Grande","Claro",67.75,2108
"Natal","Claro",67.75,808
"Salvador","Telefônica",67.875,2917
"Hortolândia","Claro",67.875,178
"Floriano","Claro",68.0,2
"Rolândia","Claro",68.0,1
"Marabá","Claro",70.0,181
"Juazeiro do Norte","Claro",70.0,193
"Ananindeua","Claro",71.0,169
"Castanhal","Claro",71.0,53
"Santo Antônio de Jesus","Telefônica",71.0,194
"Paulista","Claro",71.0,9
"Natal","Telefônica",71.875,556
"Campina Grande","Telefônica",74.0,150
"Jaboatão dos Guararapes","Telefônica",74.0,69
"Sorriso","Claro",75.0,96
"Lucas do Rio Verde","Claro",75.75,193
"Abreu e Lima","Telefônica",76.0,1
"Capanema","Telefônica",76.0,2
"Altamira","Telefônica",78.0,12
"Olinda","Telefônica",78.0,20
"Luis Eduardo Magalhães","Telefônica",78.0,38
"Aracaju","Telefônica",79.0,569
"Fortaleza","Claro",79.5,1826
"Ji Paraná","Telefônica",80.0,7
"Parnaíba","Telefônica",80.0,24
"Maceió","Telefônica",82.0,360
"Paço do Lumiar","Telefônica",82.0,15
"Valparaíso","Telefônica",82.0,34
"Dias d'Ávila","Telefônica",82.0,17
"Itabuna","Telefônica",83.0,134
"Leopoldina","Claro",83.75,66
"Castanhal","Telefônica",83.75,7
"Belém","Claro",83.875,2914
"São Gonçalo do Amarante","Claro",84.0,2
"Parnamirim","Telefônica",86.0,142
"Crato","Telefônica",86.0,23
"São José de Ribamar","Telefônica",86.0,45
"Paragominas","Telefônica",86.0,5
"Parauapebas","Claro",86.0,30
"Alegrete","Telefônica",88.0,1
"Sobral","Telefônica",88.0,14
"Barra do Corda","Claro",88.0,1
"Teresina","Telefônica",91.75,297
"Curitiba","Telefônica",91.875,6840
"Garanhuns","Telefônica",92.0,37
"Petrolina","Claro",92.0,24
"Santarém","Telefônica",92.0,12
"Juazeiro do Norte","Telefônica",94.0,30
"João Pessoa","Telefônica",95.875,482
"Timon","Claro",96.0,5
"Mossoró","Telefônica",98.0,26
"Petrolina","Telefônica",98.0,60
"Barcarena","Telefônica",98.0,13
"João Pessoa","Claro",99.0,780
"Recife","Claro",99.5,2410
"Teresina","Claro",99.75,772
"Fortaleza","Telefônica",99.875,1385
"Recife","Telefônica",103.5,2211
"São Luís","Telefônica",103.875,575
"Santana","Claro",104.0,8
"Lagarto","Telefônica",104.0,1
"Caruaru","Telefônica",106.0,34
"São Luís","Claro",107.875,1199
"Cachoeiras de Macacu","Claro",108.0,1
"Caruaru","Claro",112.0,97
"Imperatriz","Claro",112.0,40
"Patos","Telefônica",112.0,2
"Macapá","Claro",115.5,333
"Embu-Guaçu","Claro",115.75,96
"Carapicuíba","Claro",115.875,48
"Parnaíba","Claro",116.0,34
"Itapeva","Claro",123.5,6
"Jaboatão dos Guararapes","Claro",124.0,5
"Cacoal","Claro",124.0,3
"Vilhena","Claro",124.0,1
"Oiapoque","Telefônica",128.0,1
"Viamão","Telefônica",132.0,18
"Caxias do Sul","Telefônica",135.0,334
"Tramandaí","Telefônica",135.0,42
"Erechim","Telefônica",135.0,20
"Capão da Canoa","Telefônica",135.0,31
"Toledo","Telefônica",135.0,11
"Criciúma","Telefônica",135.0,50
"Guarapuava","Telefônica",135.0,27
"Osório","Telefônica",135.0,33
"Ivoti","Telefônica",135.0,19
"Itajaí","Telefônica",135.5,333
"Ponta Grossa","Telefônica",135.5,150
"Canoas","Telefônica",135.5,140
"Araucária","Telefônica",135.5,68
"São Bento do Sul","Telefônica",135.5,153
"Lages","Telefônica",135.5,58
"Balneário Camboriú","Telefônica",135.75,363
"Colombo","Telefônica",135.75,65
"Porto Alegre","Telefônica",135.875,6698
"Blumenau","Telefônica",135.9375,1510
"Campina da Lagoa","Telefônica",140.0,147
"Araraquara","Claro",151.75,293
"Tietê","Claro",159.5,7
"Rio Branco","Telefônica",160.0,8
"Belém","Telefônica",167.875,862
"Irecê","Claro",168.0,1
"Porto Velho","Telefônica",172.0,62
"Ji Paraná","Claro",183.0,161
"Nova Mutum","Claro",190.0,304
"Porto Velho","Claro",198.0,603
"Imperatriz","Telefônica",198.0,28
"Alagoinhas","Telefônica",198.0,20
"Ariquemes","Claro",204.0,77
"Conceição do Araguaia","Telefônica",206.0,64
"Manaus","Telefônica",206.0,1097
"Boa Vista","Telefônica",208.0,80
"Piracaia","Claro",216.0,2
"Manacapuru","Telefônica",216.0,1
"Pirassununga","Claro",216.0,4
"Macapá","Telefônica",222.0,95
"Batatais","Claro",223.5,42
"Mococa","Claro",223.5,25
"Monte Mor","Claro",223.5,5
"Amparo","Claro",223.75,130
"Morungaba","Claro",223.75,93
"Paulínia","Claro",223.75,38
"Rio Branco","Claro",223.75,300
"Vitória Brasil","Claro",223.75,60
"Cajamar","Claro",223.75,5
"Viçosa","Claro",224.0,1
"Guaíra","Claro",224.0,1
"Avaré","Claro",231.0,3
"Bebedouro","Claro",231.5,128
"Barretos","Claro",231.5,23
"Barrinha","Claro",231.5,597
"São Roque","Claro",231.75,30
"Registro","Claro",231.75,19
"Santa Helena de Goiás","Claro",238.0,3
"Três Corações","Claro",239.0,72
"Trindade","Claro",239.5,47
"Manaus","Claro",247.875,2661
"Cruzeiro do Sul","Claro",254.0,21
"Espírito Santo do Pinhal","Claro",287.5,4
"Jaraguá do Sul","Telefônica",303.0,8
