"cidade","provedor","rtt_mediana","testes"
"Igarapé","Telefônica",10.5,1
"Itapira","Telefônica",10.75,411
"São Leopoldo","Telefônica",10.75,165
"Embu das Artes","Claro",10.75,14
"Lençóis Paulista","Telefônica",10.875,137
"Arujá","Claro",10.875,167
"São José","Claro",10.96875,1542
"Mococa","Telefônica",11.0,7
"Teresópolis","Gigalink",11.0,4
"Peruíbe","Telefônica",11.25,23
"Bertioga","Claro",11.25,432
"Mauá","Claro",11.375,452
"Palmital","Telefônica",11.375,36
"Ribeirão Preto","Telefônica",11.4375,1796
"São José do Rio Pardo","Telefônica",11.5,107
"Descalvado","Telefônica",11.5,31
"Nova Iguaçu","Telefônica",11.75,53
"Ferraz de Vasconcelos","Telefônica",11.875,597
"Botucatu","Telefônica",11.875,419
"Araçatuba","Telefônica",11.875,1858
"Itirapina","Telefônica",11.9375,219
"Itápolis","Telefônica",12.0,7
"Riachão do Dantas","Claro",12.0,3
"Guararapes","Telefônica",12.0,24
"Alumínio","Claro",12.0,2
"Juquiá","Telefônica",12.0,2
"Serrana","Claro",12.0,1
"Elias Fausto","Claro",12.0,9
"Serra Negra","Claro",12.25,263
"Campos dos Goytacazes","Gigalink",12.25,543
"Franca","Telefônica",12.375,349
"Jaguariúna","Telefônica",12.375,182
"Matão","Telefônica",12.375,756
"Piraí","Claro",12.375,6
"Rio das Ostras","Gigalink",12.5,4
"Casimiro de Abreu","Gigalink",12.5,2
"Santa Cruz do Rio Pardo","Telefônica",12.5,15
"Promissão","Claro",12.5,1
"Jardinópolis","Claro",12.5,1
"Sertãozinho","Telefônica",12.75,123
"Pedreira","Claro",12.75,220
"Itanhaém","Claro",12.875,751
"Bauru","Telefônica",12.875,1446
"Suzano","Claro",12.875,187
"Jaboticabal","Telefônica",13.0,119
"Garça","Telefônica",13.0,9
"Rafard","Claro",13.0,7
"Barra Bonita","Telefônica",13.0,89
"Poá","Claro",13.0,14
"Ribeirão das Neves","Telefônica",13.0,2
"Jacareí","Claro",13.25,431
"Guarulhos","Claro",13.375,6316
"Santo André","Claro",13.375,9376
"Poá","Telefônica",13.375,457
"São Paulo","Claro",13.4375,87286
"São Carlos","Telefônica",13.4375,1198
"Lins","Telefônica",13.5,32
"Macaé","Gigalink",13.5,3
"Fernandópolis","Claro",13.5,1
"Armação dos Búzios","Gigalink",13.5,7
"Ribeirão das Neves","Claro",13.5,14
"São João da Boa Vista","Claro",13.75,453
"Tupã","Telefônica",13.75,77
"Ribeirão Pires","Claro",13.75,237
"São José do Rio Preto","Telefônica",13.875,1673
"Pirassununga","Telefônica",13.875,332
"Barra do Piraí","Telefônica",14.0,24
"Barra Mansa","Telefônica",14.0,117
"Nova Odessa","Claro",14.0,4
"Valparaíso","Claro",14.0,12
"Penápolis","Telefônica",14.25,13
"Jundiaí","Claro",14.375,2721
"Ourinhos","Telefônica",14.375,70
"Olímpia","Telefônica",14.5,43
"Boituva","Claro",14.5,98
"Mirassol","Telefônica",14.5,12
"Arcos","Telefônica",14.5,48
"Limeira","Claro",14.75,351
"Bragança Paulista","Claro",14.75,399
"Votorantim","Claro",14.75,357
"Arraial do Cabo","Gigalink",14.75,13
"Nilópolis","Claro",14.875,437
"Avaré","Telefônica",15.0,238
"Vinhedo","Claro",15.0,87
"Jaboticabal","Claro",15.0,30
"Mesquita","Claro",15.0,25
"Barbacena","Telefônica",15.0,35
"Pará de Minas","Telefônica",15.0,9
"São José do Rio Pardo","Claro",15.0,12
"Olímpia","Claro",15.0,4
"Araruama","Gigalink",15.0,1
"São Sebastião","Claro",15.25,67
"Marília","Telefônica",15.25,587
"Atibaia","Claro",15.25,332
"Rio Claro","Claro",15.25,1384
"Mogi Mirim","Claro",15.25,131
"Maresias","Telefônica",15.25,318
"Tatuí","Claro",15.25,104
"Mogi das Cruzes","Claro",15.375,2661
"Rio de Janeiro","Telefônica",15.4375,10607
"Vespasiano","Claro",15.5,42
"Lagoa Santa","Telefônica",15.5,53
"Porto Feliz","Claro",15.5,18
"Ituverava","Claro",15.5,56
"Caratinga","Telefônica",15.5,2
"Petrópolis","Telefônica",15.5,41
"Taubaté","Claro",15.875,1100
"Diadema","Claro",15.875,565
"Volta Redonda","Telefônica",15.875,136
"Niterói","Claro",15.96875,1895
"Itumbiara","Telefônica",16.0,2
"Jandira","Claro",16.0,2
"Belford Roxo","Claro",16.5,13
"Catanduva","Telefônica",16.5,138
"Guaxupé","Telefônica",16.5,537
"Jales","Telefônica",16.5,104
"Cravinhos","Claro",16.5,31
"Adamantina","Telefônica",16.5,13
"Santa Luzia","Claro",16.5,62
"Dracena","Telefônica",16.5,52
"Paraíba do Sul","Claro",16.5,42
"Americana","Claro",16.75,1859
"Cotia","Claro",16.75,1815
"Ubatuba","Claro",16.75,326
"Aparecida","Claro",16.75,652
"Niterói","Telefônica",16.75,370
"Praia Grande","Claro",16.875,640
"São Bernardo do Campo","Claro",16.875,2051
"Presidente Prudente","Telefônica",16.875,1867
"Viamão","Claro",17.0,2
"Angra dos Reis","Telefônica",17.0,1
"Votuporanga","Telefônica",17.5,193
"Passos","Telefônica",17.5,47
"Penápolis","Claro",17.5,14
"Fernandópolis","Telefônica",17.5,5
"Formiga","Telefônica",17.5,38
"Sorocaba","Claro",17.75,4273
"São Carlos","Claro",17.75,953
"Santos","Claro",17.875,2925
"Santa Bárbara d'Oeste","Claro",17.875,402
"Nova Iguaçu","Claro",17.875,428
"Marialva","Telefônica",17.875,32
"Osasco","Claro",17.9375,17330
"São Francisco do Sul","Telefônica",18.0,3
"Belem","Claro",18.0,2
"Osvaldo Cruz","Telefônica",18.0,2
"Birigui","Telefônica",18.5,496
"Uberlândia","Telefônica",18.5,486
"Apucarana","Claro",18.5,66
"Mangaratiba","Telefônica",18.5,3
"Mogi Guaçu","Claro",18.5,352
"Divinópolis","Telefônica",18.5,154
"Américo Brasiliense","Claro",18.5,103
"São Sebastião do Paraíso","Telefônica",18.5,11
"Lins","Claro",18.5,36
"João Monlevade","Telefônica",18.5,6
"Matozinhos","Telefônica",18.5,11
"Arapongas","Telefônica",18.5,4
"Armação dos Búzios","Claro",18.5,13
"Itaúna","Telefônica",18.5,68
"Itu","Claro",18.75,890
"Araras","Claro",18.75,165
"São Pedro da Aldeia","Claro",18.75,57
"Indaiatuba","Claro",18.75,1323
"São Vicente","Claro",18.75,1134
"Caçapava","Claro",18.75,156
"Londrina","Telefônica",18.875,1290
"Barueri","Claro",18.875,777
"Andradina","Claro",19.0,20
"Ituiutaba","Telefônica",19.0,5
"Mariana","Telefônica",19.0,6
"Florianopólis","Claro",19.0,17
"Navegantes","Telefônica",19.0,2
"Paulicéia","Telefônica",19.0,1
"Três Pontas","Telefônica",19.0,1
"Birigui","Claro",19.0,6
"Bauru","Claro",19.5,1863
"Catalão","Telefônica",19.5,72
"Assis","Telefônica",19.5,182
"Mirassol","Claro",19.5,53
