"server_ip","city","country_name","country_code","latitude","longitude"
"10.17.0.101","Helsinki",,"FI",60.3172,24.9633
"154.18.169.88","Hong Kong",,"HK",22.3089,113.915
"35.220.156.178","Hong Kong",,"HK",22.3089,113.915
"2600:1900:41a0:f002:8000:1::","Hong Kong",,"HK",22.3089,113.915
"2402:4480:400::88","Hong Kong",,"HK",22.3089,113.915
"34.35.31.99","Johannesburg",,"ZA",-26.1392,28.246
"196.24.45.152","Johannesburg",,"ZA",-26.1392,28.246
"102.88.1.152","Lagos",,"NG",6.57737,3.32116
"102.88.1.139","Lagos",,"NG",6.57737,3.32116
"102.88.1.165","Lagos",,"NG",6.57737,3.32116
"2800:870:3000::37","Lima",,"PE",-12.0219,-77.1143
"2001:13b3:9000::203","Lima",,"PE",-12.0219,-77.1143
"2800:870:3000::24","Lima",,"PE",-12.0219,-77.1143
"2800:870:3000::11","Lima",,"PE",-12.0219,-77.1143
"8.243.113.216","Lima",,"PE",-12.0219,-77.1143
"2001:13b3:9000::216","Lima",,"PE",-12.0219,-77.1143
"200.123.196.37","Lima",,"PE",-12.0219,-77.1143
"200.123.196.24","Lima",,"PE",-12.0219,-77.1143
"8.243.113.203","Lima",,"PE",-12.0219,-77.1143
"2001:13b3:9000::229","Lima",,"PE",-12.0219,-77.1143
"200.123.196.11","Lima",,"PE",-12.0219,-77.1143
"8.243.113.229","Lima",,"PE",-12.0219,-77.1143
"162.213.98.37","Lisbon",,"PT",38.7813,-9.13592
"162.213.98.11","Lisbon",,"PT",38.7813,-9.13592
"195.89.147.139","Lisbon",,"PT",38.7813,-9.13592
"162.213.98.24","Lisbon",,"PT",38.7813,-9.13592
"213.242.96.216","Lisbon",,"PT",38.7813,-9.13592
"195.89.146.24","London",,"GB",51.4775,-0.461389
"162.213.96.24","London",,"GB",51.4775,-0.461389
"2001:41a8:405:1::37","London",,"GB",51.4775,-0.461389
"2001:41a8:405:1::24","London",,"GB",51.4775,-0.461389
"2001:5000:1100:31::37","London",,"GB",51.4775,-0.461389
"162.213.96.37","London",,"GB",51.4775,-0.461389
"195.89.146.37","London",,"GB",51.4775,-0.461389
"34.102.107.77","Los Angeles",,"US",33.9425,-118.408
"2001:550:6800::11","Los Angeles",,"US",33.9425,-118.408
"38.98.51.24","Los Angeles",,"US",33.9425,-118.408
"4.15.166.37","Los Angeles",,"US",33.9425,-118.408
"4.15.166.11","Los Angeles",,"US",33.9425,-118.408
"4.15.166.24","Los Angeles",,"US",33.9425,-118.408
"38.98.51.11","Los Angeles",,"US",33.9425,-118.408
"38.98.51.37","Los Angeles",,"US",33.9425,-118.408
"77.67.115.75","Madrid",,"ES",40.4719,-3.56264
"77.67.115.101","Madrid",,"ES",40.4719,-3.56264
"202.90.156.24","Manila",,"PH",14.5086,121.0194
"197.235.0.203","Maputo",,"MZ",-25.9208,32.5726
"162.213.98.216","Marseille",,"FR",43.4393,5.22142
"154.14.11.203","Marseille",,"FR",43.4393,5.22142
"212.73.211.75","Marseille",,"FR",43.4393,5.22142
"162.213.98.203","Marseille",,"FR",43.4393,5.22142
"34.129.5.156","Melbourne",,"AU",-37.6733,144.843
"2600:1900:41c0:feec:8000:1::","Melbourne",,"AU",-37.6733,144.843
"201.174.189.101","Mexico City",,"MX",19.4363,-99.0721
"201.174.189.75","Mexico City",,"MX",19.4363,-99.0721
"201.174.189.88","Mexico City",,"MX",19.4363,-99.0721
"2604:d600:1001:1::101","Mexico City",,"MX",19.4363,-99.0721
"2001:438:fffd:29::24","Miami",,"US",25.7932,-80.2906
"2001:438:fffd:29::37","Miami",,"US",25.7932,-80.2906
"2001:550:6c01::11","Miami",,"US",25.7932,-80.2906
"2001:550:6c01::37","Miami",,"US",25.7932,-80.2906
"2001:438:fffd:29::11","Miami",,"US",25.7932,-80.2906
"2001:550:6c01::24","Miami",,"US",25.7932,-80.2906
"128.177.109.37","Miami",,"US",25.7932,-80.2906
"173.205.3.165","Miami",,"US",25.7932,-80.2906
"2001:668:1f:1f::165","Miami",,"US",25.7932,-80.2906
"38.109.21.11","Miami",,"US",25.7932,-80.2906
"173.205.3.152","Miami",,"US",25.7932,-80.2906
"38.109.21.37","Miami",,"US",25.7932,-80.2906
"128.177.109.11","Miami",,"US",25.7932,-80.2906
"38.109.21.24","Miami",,"US",25.7932,-80.2906
